"ETA" "PESO" "ALTEZZA" "SESSO"
55 65 158 2
84 54 152 1
64 24 174 2
76 71 166 2
32 85 180 2
89 67 162 1
63 70 170 2
48 66 172 2
92 68 170 2
84 56 170 2
80 70 170 2
78 74 173 2
86 62 165 1
70 58 170 2
90 50 160 1
69 82 167 1
67 51 158 2
57 63 170 2
54 88 178 2
76 79 165 2
61 85 160 2
56 90 186 2
49 70 165 2
76 80 162 2
43 87 178 2
63 75 168 2
54 72 185 2
59 67 172 2
59 87 156 1
85 66 160 1
48 80 178 2
70 58 173 2
76 75 170 2
63 66 150 1
69 48 160 1
79 60 155 1
68 75 170 2
75 63 168 2
83 80 160 1
81 70 162 1
66 67 160 2
63 54 155 1
62 80 155 1
45 100 180 2
64 82 160 1
73 67 160 1
46 95 175 2
79 64 167 2
56 68 165 2
68 50 160 2
55 97 185 2
74 80 174 2
79 48 164 2
87 53 159 1
69 70 166 2
80 74 155 1
78 68 173 2
87 72 168 2
56 135 192 2
56 92 182 2
71 70 165 1
88 70 155 1
73 60 160 1
70 62 160 2
66 62 157 2
89 60 160 1
62 73 169 2
78 80 172 2
71 66 165 2
64 90 175 2
88 50 160 1
67 65 167 2
69 90 175 1
98 70 170 2
51 76 176 2
86 52 160 1
44 120 187 2
60 100 179 2
67 83 178 2
86 73 160 1
68 68 159 1
50 90 172 2
80 60 165 1
64 62 160 1
56 95 178 2
63 75 173 2
48 82 178 2
63 65 160 2
76 90 175 2
68 85 175 2
70 68 168 2
45 81 174 2
84 95 176 2
60 89 175 2
60 73 165 2
44 80 185 2
72 82 170 2
68 65 167 2
56 115 178 2
59 65 166 2
53 80 175 2
50 78 175 2
63 70 170 2
60 85 170 2
52 95 178 2
70 83 165 2
74 62 165 2
90 60 150 1
51 85 170 2
82 84 178 2
87 70 165 1
69 68 168 2
74 60 168 2
88 66 156 1
54 92 170 2
57 65 170 2
44 87 180 2
82 64 174 2
61 70 167 2
74 74 171 2
68 73 172 2
72 72 168 2
50 110 185 2
72 103 176 2
57 86 167 2
55 70 171 2
63 70 173 2
60 70 172 2
51 84 179 2
73 50 155 1
78 68 170 2
67 64 164 2
79 73 163 1
44 66 168 2
60 90 165 2
88 67 150 1
60 83 160 1
57 62 158 1
58 67 170 2
55 88 175 2
81 74 170 2
59 124 170 2
45 83 180 2
67 82 170 2
42 72 178 2
54 108 172 2
83 84 170 2
59 100 189 2
46 66 168 1
58 87 166 2
48 67 160 2
67 107 180 2
56 89 165 2
49 104 178 2
50 75 160 1
55 115 178 2
65 80 167 2
84 80 170 2
72 86 160 1
51 72 150 1
65 70 170 2
40 80 170 2
66 70 165 1
56 90 181 2
54 70 168 2
55 63 150 2
41 67 165 2
61 56 154 2
84 91 165 1
64 60 161 2
48 95 170 2
47 80 175 2
100 50 150 1
51 88 167 2
58 62 162 2
79 60 162 1
35 65 160 2
70 85 178 2
71 60 160 1
39 68 173 2
64 62 160 2
48 95 180 2
39 101 186 2
54 72 180 2
64 85 170 2
43 98 167 1
